newData(relu_act),noData(relu_act),newData(leaky_relu_act),noData(leaky_relu_act),newData(tanh_act),noData(tanh_act),newData(sigmoid_act),noData(sigmoid_act),newData(scalar_mult),noData(scalar_mult),newData(small_dense),noData(small_dense),newData(big_dense),noData(big_dense),newData(simple_conv2d),noData(simple_conv2d),newData(strided_conv2d),noData(strided_conv2d),newData(dilated_conv2d),noData(dilated_conv2d),newData(small_conv2d),noData(small_conv2d),newData(big_conv2d),noData(big_conv2d),newData(many_conv2d),noData(many_conv2d),newData(few_conv2d),noData(few_conv2d)
2.0899999526591273e-06,9.679999948275508e-07,2.688999984457041e-06,8.199999683711212e-07,2.2909998733666725e-06,8.919998890632996e-07,4.123000053368742e-06,2.601000005597598e-06,2.2709998575010104e-06,8.639999578008428e-07,2.401000074314652e-06,9.309999313700246e-07,1.0562999932517414e-05,8.36699996398238e-06,0.0013053870000021561,0.0008774210000410676,9.178599998449499e-05,7.5957000035487e-05,0.0014074779999191378,0.0012529759999324597,0.0011318199999550416,0.0008522179998635693,0.0026367469999968307,0.0031022099999518105,0.005371954999873196,0.0043391970000357105,0.0010768750000806904,0.0009900790000756388
2.165000068998779e-06,1.148999899669434e-06,2.641000037328922e-06,8.340000476891873e-07,1.65930000548542e-05,9.030000001075678e-07,4.124000042793341e-06,2.5750000531843398e-06,2.2950000584387453e-06,8.439999419351807e-07,2.3860000055719865e-06,9.630000477045542e-07,1.0673999895516317e-05,8.439999874099158e-06,0.003251155000043582,0.0008664870001666714,9.236400001100264e-05,7.400899994536303e-05,0.0013065240000287304,0.001162973999953465,0.0012092770000435848,0.000856814000144368,0.0025075409998862597,0.0023328710001351283,0.0055324840000139375,0.004608878999988519,0.0016259370001989737,0.0012670270000398887
2.1630000901495805e-06,9.640000371291535e-07,2.640000047904323e-06,7.959999948070617e-07,2.280999979120679e-06,8.86999941940303e-07,4.0580000586487586e-06,2.5639999421400717e-06,2.2900001113157487e-06,8.189999789465219e-07,2.3180000425782055e-06,9.210000371240312e-07,1.0494999969523633e-05,8.377000085602049e-06,0.0017558660001668613,0.0008144109999648208,9.142099997916375e-05,7.119799988686282e-05,0.0012561349999486993,0.001163449999921795,0.0012762200001361634,0.0009921949999807111,0.0033130330000403774,0.002416189000086888,0.005731602999958341,0.004465307999907964,0.0017999029998918559,0.0008451609999156062
2.3230002170748776e-06,7.610001375724096e-07,2.6199998046649853e-06,8.239999260695186e-07,2.288999894517474e-06,8.859999525157036e-07,4.123000053368742e-06,2.603999973871396e-06,2.218999952674494e-06,8.50999867907376e-07,2.488000063749496e-06,9.450000106880907e-07,1.0575000032986281e-05,8.378000075026648e-06,0.001140140999950745,0.0009028389999912179,9.223100005328888e-05,7.112999992386904e-05,0.0012302759998874535,0.001151931000094919,0.0012261609999768552,0.0008605860000443499,0.0030455169999186182,0.0023872799999935523,0.005339221999975052,0.0042648599999211,0.0009614819998660096,0.0009971030001452164
4.281999963495764e-06,9.200000476994319e-07,2.638999831106048e-06,8.309998520417139e-07,2.2819999685452785e-06,9.099999260797631e-07,4.192000005787122e-06,2.5800000003073364e-06,2.266999899802613e-06,8.310000794153893e-07,5.765999958384782e-06,9.240000053978292e-07,1.0550999832048547e-05,8.39900008031691e-06,0.0013643669999510166,0.0012026520000745222,9.269400015909923e-05,7.376099983957829e-05,0.001237814999967668,0.0011511410000366595,0.0009264130001156445,0.0008930789999794797,0.0025846529999853374,0.0030957760000092094,0.005584443000088868,0.004400373999942531,0.001286171999936414,0.0008309239999562124
2.331999894522596e-06,7.850001111364691e-07,2.625000206535333e-06,8.019999313546577e-07,2.319000032002805e-06,8.92999878487899e-07,4.219999937049579e-06,2.5719998575368663e-06,2.237999979115557e-06,8.460001481580548e-07,2.4959999791462906e-06,9.259999842470279e-07,1.0606999921947136e-05,8.434999926976161e-06,0.0011583670000163693,0.0008650509998915368,9.301400018557615e-05,7.26949999716453e-05,0.0013017770002079487,0.0011564260000795912,0.0008975109999482811,0.0008847410001635581,0.0035901100000046426,0.003173172999822782,0.0058486100001573504,0.004443190999836588,0.0009850989999904414,0.0011275090000708587
2.1469998046086403e-06,7.710000318184029e-07,2.649999942150316e-06,8.250001428677933e-07,2.291999862791272e-06,9.159998626273591e-07,4.146999799559126e-06,2.767000069070491e-06,2.2440001430368284e-06,9.830000635702163e-07,2.4369999209739035e-06,9.499999578110874e-07,1.0629000144035672e-05,8.438000122623635e-06,0.0011625720001120499,0.0009210190000885632,9.607100014363823e-05,0.0019663549999222596,0.0014450870000928262,0.001151503000073717,0.0020502760000908893,0.0008787950000623823,0.00307669300013913,0.0024463080001169146,0.005355639000072188,0.004376703000161797,0.0011139129999264696,0.0008039580000058777
2.12399982046918e-06,7.589999313495355e-07,2.693000169529114e-06,8.130000423989259e-07,2.3329998839471955e-06,8.83999973666505e-07,4.016000048068236e-06,2.5629999527154723e-06,2.260999963255017e-06,8.730000899959123e-07,2.311999878656934e-06,9.240000053978292e-07,1.0494999969523633e-05,8.600999990449054e-06,0.001393454999970345,0.0008682689999659488,9.545800003252225e-05,0.0013966350002192485,0.0013232369999514049,0.0012438390001534572,0.0011429829999087815,0.0008605349999015743,0.002723709000065355,0.0023776079999606736,0.005524426999954812,0.004243440999971426,0.0011710759999914444,0.000964592999935121
2.1200000901444582e-06,9.779998890735442e-07,2.674999905138975e-06,8.050001270021312e-07,1.455400001759699e-05,8.750000688451109e-07,4.2130000110773835e-06,2.5970000478992006e-06,2.2640001589024905e-06,8.510000952810515e-07,2.438999899823102e-06,9.51999936660286e-07,1.0536999980104156e-05,8.461999868814019e-06,0.0016042540000853478,0.0011688529998536978,9.723900006974873e-05,0.00014381899995896674,0.0012735300001622818,0.0011552510000001348,0.0013258599999517173,0.0008564889999433944,0.0025920440000390954,0.0030966300000727642,0.005597057999921162,0.004317420999996102,0.001065773999926023,0.0009561299998495087
2.1890000425628386e-06,1.1239999366807751e-06,2.6769998839881737e-06,8.049998996284558e-07,2.275000042573083e-06,8.829999842419056e-07,4.238999963490642e-06,2.5599999844416743e-06,2.317000053153606e-06,8.119998256006511e-07,2.389999963270384e-06,9.319999207946239e-07,1.0599000006550341e-05,8.471999990433687e-06,0.00153182500002913,0.0008572749998165818,9.215299996867543e-05,0.0007131749998734449,0.0012272960000245803,0.001184630999887304,0.001210549000006722,0.0008770009999352624,0.0031855750000886474,0.0024035090000325,0.00536226400004125,0.004451018000054319,0.0014652140000634972,0.0009836369999902672
