relu_act,leaky_relu_act,tanh_act,sigmoid_act,scalar_mult,small_dense,big_dense,simple_conv2d,strided_conv2d,dilated_conv2d,small_conv2d,big_conv2d,many_conv2d,few_conv2d
1.4199999895936344e-06,1.692999830993358e-06,1.272999952561804e-06,1.3520000265998533e-06,1.368999846818042e-06,1.4360000477608992e-06,6.394999900294351e-06,0.00042618099973879,1.3499000033334596e-05,3.628299987212813e-05,6.937399984963122e-05,-0.000413908000155061,0.0008216359999551059,-0.00021175099982428947
1.294999947276665e-06,1.6540000160603086e-06,1.294000185225741e-06,1.3280000530357938e-06,1.2809998679585988e-06,1.3830001535097836e-06,2.5320000531792175e-06,7.98349999513448e-05,3.868300018439186e-05,3.798600005211483e-05,-2.0511999991867924e-05,-0.0002822090000336175,0.0011394959999506682,1.3507000176105066e-05
1.416000031895237e-06,1.6310000319208484e-06,1.3109997780702543e-06,1.368000084767118e-06,1.3290000424603932e-06,1.424999936716631e-06,2.331999894522596e-06,7.203700010904868e-05,1.895200011858833e-05,2.6747999982035253e-05,2.9906000008850242e-05,-0.00012919500022690045,0.001170218999732242,-0.00014498500013360172
1.3539997780753765e-06,1.651000275160186e-06,1.2680000054388074e-06,1.3410001429292606e-06,1.348000068901456e-06,1.3850001323589822e-06,2.22499988922209e-06,1.3355999954001163e-05,1.7496000282335444e-05,6.247700002859347e-05,2.3915000156193855e-05,0.00034327499975006504,0.0012633280000500235,4.13289999414701e-05
1.2539999261207413e-06,1.6340000001946464e-06,1.2510001852206187e-06,1.3389999367063865e-06,1.3169999419915257e-06,1.3750000107393134e-06,2.3860000055719865e-06,-6.067100002837833e-05,1.781200012374029e-05,7.1803000082582e-05,3.724999987753108e-05,-0.0003505219999624387,0.0013498550001713738,2.3773999828335945e-05
1.5060002169775544e-06,1.6169999526027823e-06,1.2689999948634068e-06,1.4129998362477636e-06,1.368000084767118e-06,1.3339999895833898e-06,2.2649999209534144e-06,4.604700006893836e-05,1.8002999922828167e-05,3.526299997247406e-05,5.142500026522612e-05,0.0006131589998403797,0.0010049699999399309,1.9973000007666997e-05
1.8429998362989863e-06,1.562000079502468e-06,1.2539996987470658e-06,1.3209996723162476e-06,1.3080002645438071e-06,1.4709996776218759e-06,2.0879999738099286e-06,7.49040000300738e-05,1.9256999848948908e-05,3.8214999904084834e-05,0.00016864500003066496,-5.8226999954058556e-05,0.0014183590001266566,-1.0644999974829261e-05
1.4280001323641045e-06,1.672000053076772e-06,1.356000211671926e-06,1.371000053040916e-06,1.309000026594731e-06,1.3729998045164393e-06,2.2579997676075436e-06,1.2212999990879325e-05,2.0731999939016532e-05,3.5874000104740844e-05,-0.00027216700004828454,4.529700004241022e-05,0.0009423930000593828,4.557700026452949e-05
1.5099997199286008e-06,1.6349999896192458e-06,1.2760001482092775e-06,1.3290000424603932e-06,1.3379997199081117e-06,1.3899998521083035e-06,2.2739998257748084e-06,6.241899995984568e-05,1.7070000012608944e-05,3.847500011033844e-05,4.7170000016194535e-05,0.000670149000143283,0.0012533059998531826,-2.026100014518306e-05
1.4089998785493663e-06,1.7190000107802916e-06,1.329999804511317e-06,1.374000021314714e-06,1.3389999367063865e-06,1.4519998785544885e-06,2.142000084859319e-06,0.00025174699999297445,1.953400010279438e-05,0.00010364900003878574,8.972299997367372e-05,0.0001135289999183442,0.001100293999797941,0.00021854400006304786
