time,time,time
4.889899992122082e-05,4.97110004289425e-05,5.051700009062188e-05
4.885900034423685e-05,4.92470007884549e-05,5.099300051369937e-05
4.928499947709497e-05,5.009699998481665e-05,5.122299990034662e-05
4.925600023852894e-05,5.015800070395926e-05,6.328500057861675e-05
4.9035000301955733e-05,4.975199954060372e-05,5.1619999794638716e-05
4.8950999371299986e-05,4.958099998475518e-05,5.1281000196468085e-05
4.8969999625114724e-05,5.031000000599306e-05,5.101600072521251e-05
4.888200055574998e-05,4.964599975210149e-05,5.0941000154125504e-05
4.9005000619217753e-05,4.984199949831236e-05,5.0816000111808535e-05
4.978100059815915e-05,5.067699930805247e-05,5.200400028115837e-05
4.8488000174984336e-05,4.9604000196268316e-05,5.061899992142571e-05
4.843699935008772e-05,4.9601999307924416e-05,5.0861999625340104e-05
4.840299970965134e-05,4.997399992134888e-05,5.1510999583115336e-05
4.874099977314472e-05,4.9682000280881766e-05,5.1810000513796695e-05
4.891800017503556e-05,4.920999981550267e-05,5.153599977347767e-05
4.821499987883726e-05,4.939199970976915e-05,5.215400051383767e-05
4.88579999000649e-05,4.9541999942448456e-05,5.2413000048545655e-05
4.898200040770462e-05,4.995200015400769e-05,5.1807000090775546e-05
4.9205000323127024e-05,4.981700021744473e-05,5.164499998500105e-05
4.9170000238518696e-05,5.008199968870031e-05,5.159700049262028e-05
4.8705999688536394e-05,5.0205999286845326e-05,5.229500038694823e-05
4.8415000492241234e-05,5.049800074630184e-05,5.152199992153328e-05
4.8953000259643886e-05,5.065200002718484e-05,5.126900032337289e-05
4.903299941361183e-05,5.4336000175680965e-05,5.0600000577105675e-05
4.888499915978173e-05,7.83120003688964e-05,5.0971000746358186e-05
4.9220000619243365e-05,5.0069999815605115e-05,5.1017999794567004e-05
4.924399945593905e-05,5.0229000407853164e-05,5.127199983689934e-05
4.90809998154873e-05,5.03230003232602e-05,5.0941000154125504e-05
4.958199951943243e-05,5.140099983691471e-05,5.081200015411014e-05
5.0222999561810866e-05,5.075900025985902e-05,5.0364999879093375e-05
4.97860000905348e-05,5.0350000492471736e-05,5.034700006945059e-05
5.315999987942632e-05,4.95510003020172e-05,5.0397999984852504e-05
5.077900004835101e-05,5.0257999646419194e-05,5.076199977338547e-05
4.997199994249968e-05,4.9901000238605775e-05,5.085100019641686e-05
5.004400009056553e-05,5.0487999942561146e-05,5.102699924464105e-05
4.984600036550546e-05,5.0054999519488774e-05,5.116399916005321e-05
5.005300045013428e-05,4.995300059817964e-05,5.1170000006095506e-05
5.124600011185976e-05,5.0939000175276306e-05,5.25699997524498e-05
4.9743000090529677e-05,5.01690001328825e-05,5.119300021760864e-05
4.908800019620685e-05,4.937599987897556e-05,5.0583000302140135e-05
4.9016000048140995e-05,4.967899985786062e-05,5.099100053485017e-05
4.9141000090457965e-05,4.965900006936863e-05,5.103700004838174e-05
4.929699935019016e-05,4.9740999202185776e-05,5.083899941382697e-05
4.910299958282849e-05,4.9805999879026785e-05,5.061599949840456e-05
4.945299951941706e-05,5.004700051358668e-05,5.093599975225516e-05
4.942299983667908e-05,4.9622000005911104e-05,5.128700013301568e-05
4.9650999244477134e-05,5.020200023864163e-05,5.0767000175255816e-05
4.958299996360438e-05,4.984099996363511e-05,5.034700006945059e-05
4.915899990010075e-05,4.9871000555867795e-05,5.089999922347488e-05
4.9203999878955074e-05,4.967200038663577e-05,5.0956999984919094e-05
4.990500019630417e-05,4.9307999688608106e-05,5.070000042906031e-05
4.919299954053713e-05,4.952099970978452e-05,5.06349997522193e-05
4.958299996360438e-05,4.973300019628368e-05,5.060300009063212e-05
4.941000042890664e-05,4.952700055582682e-05,5.0814000132959336e-05
4.9546000809641555e-05,4.959499983669957e-05,5.092100036563352e-05
4.8986000365403015e-05,4.915099998470396e-05,5.122800030221697e-05
4.9155999477079604e-05,4.9216999286727514e-05,5.0894000196421985e-05
4.8922999667411204e-05,4.90809998154873e-05,5.071699979453115e-05
4.9231000048166607e-05,4.93199995617033e-05,5.080299979454139e-05
4.8505000449949875e-05,4.920200080960058e-05,5.039300049247686e-05
4.8826999773154967e-05,4.9479999688628595e-05,5.0802000259864144e-05
4.933700074616354e-05,4.930300019623246e-05,5.065300047135679e-05
4.9264000153925736e-05,4.93930001539411e-05,5.1159000577172264e-05
4.905100013274932e-05,4.9264000153925736e-05,5.060400053480407e-05
4.9387999752070755e-05,4.9246999878960196e-05,5.05640000483254e-05
4.9092000153905246e-05,4.9387999752070755e-05,5.062200034444686e-05
4.9298000703856815e-05,4.9215999752050266e-05,5.031399996369146e-05
4.930200066155521e-05,5.01000004078378e-05,5.063799926574575e-05
4.876100047113141e-05,4.964799973095069e-05,5.0894000196421985e-05
5.095899996376829e-05,5.061100000602892e-05,5.25760005984921e-05
4.9295000280835666e-05,4.9481000132800546e-05,5.119399975228589e-05
4.943699968862347e-05,4.87040006191819e-05,5.066900030215038e-05
4.886299939244054e-05,4.953499956172891e-05,5.094599964650115e-05
4.959899979439797e-05,4.917899968859274e-05,5.1235000682936516e-05
4.9884999498317484e-05,4.9453000428911764e-05,5.1579000682977494e-05
4.945499949826626e-05,4.958699992130278e-05,5.129999954078812e-05
4.9403000048187096e-05,4.9434000175097026e-05,5.1732000429183245e-05
4.9248999857809395e-05,4.922199968859786e-05,5.134999992151279e-05
4.931900002702605e-05,4.940899998473469e-05,5.0847000238718465e-05
4.956400061928434e-05,4.9639000280876644e-05,5.075599983683787e-05
4.944400006934302e-05,4.981799975212198e-05,5.488999977387721e-05
4.919500042888103e-05,4.949999947712058e-05,5.134899947734084e-05
4.882200028077932e-05,4.953400002705166e-05,5.089600017527118e-05
4.918299964629114e-05,4.937000085192267e-05,5.097900066175498e-05
4.914799956168281e-05,4.93950001327903e-05,5.10259997099638e-05
4.890400032309117e-05,4.95530002808664e-05,5.130399949848652e-05
4.875599915976636e-05,4.992399954062421e-05,5.111199970997404e-05
4.9342000238539185e-05,4.9278000005870126e-05,5.14089997523115e-05
4.969100064045051e-05,4.967499990016222e-05,7.830400045349961e-05
4.894799985777354e-05,4.941499992128229e-05,5.1295999583089724e-05
4.9451999984739814e-05,4.933699983666884e-05,5.1343999984965194e-05
4.9514000238559674e-05,4.923799951939145e-05,5.140999928698875e-05
5.034100013290299e-05,4.9293999836663716e-05,5.113400038680993e-05
4.942499981552828e-05,4.911700034426758e-05,5.099900045024697e-05
4.9977000344370026e-05,4.9172000217367895e-05,5.043900000600843e-05
4.950699985784013e-05,4.8832000175025314e-05,5.096600034448784e-05
4.919599996355828e-05,4.975299998477567e-05,5.1187000281061046e-05
4.930600061925361e-05,4.913199973088922e-05,5.104499996377854e-05
4.92429999212618e-05,4.899600025964901e-05,5.100999987917021e-05
4.997100040782243e-05,4.904400066152448e-05,5.099600002722582e-05
4.976599939254811e-05,4.996600000595208e-05,5.082300049252808e-05
4.957100009050919e-05,4.966100004821783e-05,5.0908000048366375e-05
4.9632999434834346e-05,5.353399956220528e-05,5.1170000006095506e-05
4.957200053468114e-05,5.043499913881533e-05,5.071399937151e-05
4.912799977319082e-05,4.961000013281591e-05,5.110399979457725e-05
5.067100028099958e-05,5.065400000603404e-05,5.218599926593015e-05
4.959699981554877e-05,4.9916000534722116e-05,5.0845000259869266e-05
4.9561000196263194e-05,4.925800021737814e-05,5.088200032332679e-05
4.894700032309629e-05,4.905700006929692e-05,5.141200017533265e-05
4.894199992122594e-05,4.9187000513484236e-05,5.11759999426431e-05
6.876700081193121e-05,4.918000013276469e-05,5.070099996373756e-05
6.291000045166584e-05,4.894199992122594e-05,5.1125000027241185e-05
4.928999987896532e-05,4.905400055577047e-05,5.137100015417673e-05
