time,time,time
6.143900009192294e-05,6.548900000780122e-05,7.41399999242276e-05
5.712899928767001e-05,6.304999988060445e-05,7.498800005123485e-05
6.0974000007263385e-05,6.293099977483507e-05,7.73880001361249e-05
5.688699911843287e-05,6.275699979596538e-05,7.293299950106302e-05
6.059699990146328e-05,6.603100064239698e-05,7.63850002840627e-05
5.741800032410538e-05,6.400300026143668e-05,7.510100022045663e-05
6.122399918240262e-05,6.228599977475824e-05,8.883400005288422e-05
5.781300023954827e-05,6.552800005010795e-05,7.482399996661115e-05
6.123399998614332e-05,6.169300013425527e-05,7.351899967034115e-05
5.770999996457249e-05,6.509000013465993e-05,7.777400060149375e-05
6.1646999711229e-05,6.185399979585782e-05,7.508799990318948e-05
5.845800023962511e-05,6.66959995214711e-05,7.760400058032246e-05
6.123100047261687e-05,6.168299933051458e-05,7.292000009329058e-05
5.741099994338583e-05,6.571500034624478e-05,7.781200019962853e-05
6.179600040923106e-05,6.217800000740681e-05,7.332099994528107e-05
6.197600032464834e-05,6.564799969055457e-05,7.761800043226685e-05
6.293200021900702e-05,6.340999971143901e-05,7.32810003682971e-05
5.85469997531618e-05,6.457200015574927e-05,7.595100032631308e-05
6.182299966894789e-05,6.290200053626904e-05,7.552499937446555e-05
5.789799979538657e-05,6.196999947860604e-05,7.467599971278105e-05
6.137899981695227e-05,7.04040003256523e-05,7.382900002994575e-05
5.795800007035723e-05,6.298800053627929e-05,7.344499954342609e-05
6.167399988044053e-05,6.59890001770691e-05,7.478500083379913e-05
5.795600009150803e-05,6.262999977479922e-05,7.797000034770463e-05
6.15599992670468e-05,6.561400005011819e-05,7.309699958568672e-05
5.737199990107911e-05,6.201599990163231e-05,7.837700013624271e-05
6.197899983817479e-05,6.608400053664809e-05,7.519799964939011e-05
5.783500000688946e-05,6.196899994392879e-05,7.436399937432725e-05
6.130499969003722e-05,6.530100017698715e-05,7.50720000723959e-05
5.822500042995671e-05,6.048100021871505e-05,7.42009997338755e-05
6.176399983814918e-05,6.453399964811979e-05,7.790899962856201e-05
5.840900030307239e-05,6.224800017662346e-05,7.385299977613613e-05
6.191600004967768e-05,6.648599992331583e-05,7.504400036850711e-05
5.719299952033907e-05,6.266799937293399e-05,7.537700003013015e-05
6.121799924585503e-05,6.506199952127645e-05,7.311399986065226e-05
5.762699947808869e-05,6.268099969020113e-05,7.922799977677641e-05
6.0878999647684395e-05,6.609199954255018e-05,7.308299973374233e-05
5.717699968954548e-05,6.212199969013454e-05,7.888100026320899e-05
6.159599979582708e-05,6.679899979644688e-05,7.33580000087386e-05
5.738300023949705e-05,6.29639998805942e-05,7.636200007254956e-05
6.137999935162952e-05,6.277000011323253e-05,7.376699977612589e-05
5.8118999731959775e-05,6.5831000028993e-05,7.691099926887546e-05
6.132999988039955e-05,6.18150006630458e-05,7.312200068554375e-05
5.847299962624675e-05,6.510099956358317e-05,7.452200043189805e-05
6.389699956343975e-05,6.390100043063285e-05,8.104900007310789e-05
5.829800011269981e-05,6.68479997329996e-05,7.49889995859121e-05
6.05589993938338e-05,6.231599945749622e-05,7.898300009401282e-05
5.710300047212513e-05,6.568200024048565e-05,7.448899941664422e-05
6.128399945737328e-05,6.152099922474008e-05,7.85550000728108e-05
6.098099947848823e-05,6.558099994435906e-05,7.602599998790538e-05
5.728900032409001e-05,6.28970001343987e-05,7.555299998784903e-05
6.10980005149031e-05,6.532800034619868e-05,7.481799912056886e-05
5.689200042979792e-05,6.352000036713434e-05,7.317800009332132e-05
6.091000068408903e-05,6.716300049447455e-05,7.430999994539889e-05
5.769699964730535e-05,6.330500036710873e-05,7.298400032595964e-05
6.188999941514339e-05,6.631799988099374e-05,7.760500011499971e-05
5.695100026059663e-05,6.316199960565427e-05,7.222000022011343e-05
6.107799981691642e-05,6.657999983872287e-05,7.785500019963365e-05
5.7163000747095793e-05,6.383300024026539e-05,8.488399998896057e-05
6.199199924594723e-05,6.659500013483921e-05,8.060100026341388e-05
5.850500019732863e-05,6.266299988055835e-05,7.439599994540913e-05
6.227899939403869e-05,6.190199928823858e-05,7.473999994545011e-05
5.755500023951754e-05,6.605500038858736e-05,7.837100019969512e-05
6.160200064186938e-05,6.251800004974939e-05,7.49020000512246e-05
6.098500034568133e-05,6.782399941585027e-05,8.061700009420747e-05
6.278999990172451e-05,6.330599990178598e-05,7.501599975512363e-05
5.9189999774389435e-05,6.620399926760001e-05,7.3829999564623e-05
6.256699998630211e-05,6.285800009209197e-05,7.806299981893972e-05
5.9500999668671284e-05,6.609400043089408e-05,7.551199996669311e-05
6.130400015535997e-05,6.198800019774353e-05,7.370999992417637e-05
5.7223000112571754e-05,6.636299985984806e-05,7.701999948039884e-05
6.124799983808771e-05,6.310499975370476e-05,7.389999973383965e-05
5.651900028169621e-05,6.624500019825064e-05,7.490100051654736e-05
6.016000043018721e-05,6.360999941534828e-05,7.312799971259665e-05
5.671399958373513e-05,6.072799988032784e-05,7.830300000932766e-05
6.171300083224196e-05,6.618299994443078e-05,7.549600013589952e-05
5.7868999647325836e-05,6.244599990168354e-05,7.819199981895508e-05
6.124599985923851e-05,6.240600032469956e-05,7.487399943784112e-05
5.7425000704824924e-05,6.685500011371914e-05,7.407800057990244e-05
6.179000047268346e-05,6.330900032480713e-05,7.53660006012069e-05
5.784499990113545e-05,6.637099977524485e-05,7.897500017861603e-05
6.606300030398415e-05,6.581500019819941e-05,7.41359999665292e-05
5.9333000535843894e-05,6.71640000291518e-05,7.872700007283129e-05
6.166599996504374e-05,6.294100057857577e-05,7.49850005377084e-05
5.642599990096642e-05,6.519100043078652e-05,7.46020004953607e-05
6.106900036684237e-05,6.281300011323765e-05,7.751200064376462e-05
6.062400007067481e-05,6.46799999231007e-05,7.565400028397562e-05
5.789500028186012e-05,6.690600002912106e-05,7.324499983951682e-05
6.0874999689986e-05,6.316799954220187e-05,7.833400013623759e-05
5.6986999879882205e-05,6.608599960600259e-05,7.414300034724874e-05
6.070600011298666e-05,6.214099994394928e-05,7.328899937419919e-05
5.770600000687409e-05,6.245300028240308e-05,7.818100039003184e-05
6.118599958426785e-05,6.292200032476103e-05,7.337100032600574e-05
5.7825000112643465e-05,6.620099975407356e-05,7.66890007071197e-05
6.1003000155324116e-05,6.149599994387245e-05,7.628899948031176e-05
