time,time
4.945900036545936e-05,4.816999989998294e-05
4.9465000302006956e-05,4.8212000365310814e-05
5.0351000027148984e-05,5.210700055613415e-05
4.9494999984744936e-05,4.861799970967695e-05
4.953700045007281e-05,4.860799981543096e-05
4.946199987898581e-05,4.878999970969744e-05
4.9478999244456645e-05,4.8396999773103744e-05
4.9774999752116855e-05,4.797099973075092e-05
5.0043000555888284e-05,4.7664999328844715e-05
4.8952999350149184e-05,4.798600002686726e-05
4.988899945601588e-05,4.7960999836504925e-05
4.954599990014685e-05,4.825100040761754e-05
4.922900006931741e-05,4.817199987883214e-05
4.932899992127204e-05,4.810000064026099e-05
4.9125000259664375e-05,4.826399981538998e-05
4.952099970978452e-05,4.82300001749536e-05
4.89350004500011e-05,4.826500025956193e-05
4.8675000471121166e-05,4.8193999646173324e-05
4.9156999921251554e-05,4.801599970960524e-05
4.9137999667436816e-05,4.788899968843907e-05
4.860600074607646e-05,4.817199987883214e-05
4.889499996352242e-05,4.83819994769874e-05
4.9203999878955074e-05,4.902399996353779e-05
5.055899964645505e-05,5.0380999709886964e-05
8.047600022109691e-05,4.941200040775584e-05
4.9887000386661384e-05,4.944800002704142e-05
4.9637000302027445e-05,4.9514000238559674e-05
4.9684000259730965e-05,4.943099975207588e-05
4.948599962517619e-05,4.94699997943826e-05
4.963500032317825e-05,4.956399970978964e-05
4.9620000027061906e-05,4.9774999752116855e-05
4.9927999498322606e-05,4.9634999413683545e-05
4.990500019630417e-05,4.935099968861323e-05
4.9622000005911104e-05,4.8554000386502594e-05
4.96299999213079e-05,4.9018000026990194e-05
4.952300059812842e-05,4.86250000903965e-05
4.9233999561693054e-05,4.8922999667411204e-05
4.966300002706703e-05,4.941099996358389e-05
4.9283000407740474e-05,4.865099981543608e-05
4.962899947713595e-05,4.8477000746061094e-05
4.944200009049382e-05,4.8872999286686536e-05
4.927499958284898e-05,4.840200017497409e-05
4.950899983668933e-05,4.8259000323014334e-05
4.981900019629393e-05,4.791699939232785e-05
4.982000064046588e-05,4.8616000640322454e-05
4.942299983667908e-05,4.880899996351218e-05
4.928899943479337e-05,4.9014999603969045e-05
4.95510003020172e-05,4.849400011153193e-05
4.962700040778145e-05,4.871200053457869e-05
4.961500053468626e-05,4.8533999688515905e-05
4.971799990016734e-05,4.893200002697995e-05
4.930299928673776e-05,4.883800011157291e-05
4.937999983667396e-05,4.834299943468068e-05
4.965299922332633e-05,4.883400015387451e-05
4.96299999213079e-05,4.858800002693897e-05
4.984200040780706e-05,4.856200030189939e-05
4.942500072502298e-05,4.8566999794275034e-05
4.968899975210661e-05,4.856799932895228e-05
4.944400006934302e-05,4.908400023850845e-05
5.0954000471392646e-05,4.972599981556414e-05
5.0116000238631386e-05,4.867699954047566e-05
5.0041000577039085e-05,4.825199994229479e-05
4.992000049242051e-05,4.860700028075371e-05
4.962899947713595e-05,4.836400057683932e-05
4.973399973096093e-05,4.847800028073834e-05
4.981500023859553e-05,4.833799994230503e-05
4.940599956171354e-05,4.83819994769874e-05
4.9231999582843855e-05,4.863300000579329e-05
4.9651000153971836e-05,4.8613999751978554e-05
5.000999954063445e-05,4.851500034419587e-05
5.000199962523766e-05,4.8797000090416986e-05
5.0182000450149644e-05,4.8754000090411864e-05
5.01750000694301e-05,4.880300002696458e-05
5.023199992137961e-05,4.8631000026944093e-05
5.0305000513617415e-05,4.8701999730838e-05
5.036200036556693e-05,4.8550999963481445e-05
5.049499941378599e-05,4.8908999815466814e-05
5.068500013294397e-05,4.9031999878934585e-05
5.010899985791184e-05,4.92409999424126e-05
4.964299932908034e-05,4.884100053459406e-05
4.943300064041978e-05,4.888399962510448e-05
4.919600087305298e-05,4.881000040768413e-05
4.938299935020041e-05,4.8934999540506396e-05
4.964799973095069e-05,5.241700000624405e-05
4.994299979443895e-05,4.919100047118263e-05
4.933700074616354e-05,4.9006000153895e-05
4.906000049231807e-05,4.8752000111562666e-05
4.9016999582818244e-05,4.8705999688536394e-05
4.894999983662274e-05,4.8564999815425836e-05
4.9325999498250894e-05,4.879299922322389e-05
4.925099983665859e-05,4.87789993712795e-05
4.9389999730919953e-05,4.891299977316521e-05
4.9512000259710476e-05,4.897899998468347e-05
4.929199985781452e-05,4.836100015381817e-05
4.912999975204002e-05,4.8707000132708345e-05
4.914300006930716e-05,4.860399985773256e-05
4.942700070387218e-05,4.863900085183559e-05
4.961800004821271e-05,4.868199994234601e-05
4.9541999942448456e-05,4.861799970967695e-05
5.034800051362254e-05,4.978699962521205e-05
4.9094999667431694e-05,4.966199958289508e-05
4.9016000048140995e-05,4.8472999878867995e-05
4.934600019623758e-05,4.8672999582777265e-05
5.410700032371096e-05,4.8833000619197264e-05
4.926800011162413e-05,4.897599956166232e-05
4.969700057699811e-05,4.8860999413591344e-05
4.921199979435187e-05,4.872899990004953e-05
4.925899975205539e-05,4.880300002696458e-05
4.932100000587525e-05,4.9002000196196605e-05
4.9096000111603644e-05,4.9120999392471276e-05
4.902799992123619e-05,4.8705999688536394e-05
4.906799949822016e-05,4.901099964627065e-05
4.905900004814612e-05,4.9309000132780056e-05
4.891800017503556e-05,4.8875999709707685e-05
4.934800017508678e-05,4.865299979428528e-05
4.9159000809595454e-05,4.853300015383866e-05
4.9311999646306504e-05,4.871600049227709e-05
4.925299981550779e-05,4.859500040765852e-05
4.9446999582869466e-05,4.8502999561605975e-05
4.943699968862347e-05,4.866499966738047e-05
4.995200015400769e-05,4.802100011147559e-05
4.970800000592135e-05,4.890299987891922e-05
4.992399954062421e-05,4.875000013271347e-05
4.925499979435699e-05,4.856000032305019e-05
4.958600038662553e-05,4.880199958279263e-05
4.9416999900131486e-05,4.9018000026990194e-05
4.9436000153946225e-05,4.89370004288503e-05
4.984200040780706e-05,4.860799981543096e-05
4.959299985785037e-05,4.8630000492266845e-05
4.977400021743961e-05,4.888599960395368e-05
4.907099992124131e-05,4.905599962512497e-05
4.936400000588037e-05,4.88600007884088e-05
4.940999951941194e-05,4.9123999815492425e-05
4.970200006937375e-05,4.85460004711058e-05
4.939399968861835e-05,4.894399990007514e-05
4.915400040772511e-05,4.9062000471167266e-05
4.902199998468859e-05,4.883299970970256e-05
4.8920999688562006e-05,4.907099992124131e-05
4.9371999921277165e-05,4.871100009040674e-05
4.910400002700044e-05,4.873500074609183e-05
4.927500049234368e-05,4.9092000153905246e-05
4.930499926558696e-05,4.864699985773768e-05
4.917899968859274e-05,4.885299949819455e-05
4.9047999709728174e-05,4.8827999307832215e-05
5.069399958301801e-05,4.9963000492425635e-05
4.94759997309302e-05,4.928699945594417e-05
4.930300019623246e-05,4.917899968859274e-05
4.992000049242051e-05,4.9466000746178906e-05
4.9667999519442674e-05,4.982599966751877e-05
4.9530000069353264e-05,4.9652000598143786e-05
4.988899945601588e-05,4.976199943484971e-05
4.995400013285689e-05,5.010699987906264e-05
4.9622000005911104e-05,4.964500021742424e-05
4.911399992124643e-05,4.9061000026995316e-05
4.90080001327442e-05,5.0022999857901596e-05
4.94679998155334e-05,4.978499964636285e-05
4.919700040773023e-05,4.9961999138758983e-05
4.9000000217347406e-05,4.920999981550267e-05
4.882400025962852e-05,4.914799956168281e-05
4.9012999625119846e-05,4.889599949819967e-05
4.9139000111608766e-05,4.933200034429319e-05
4.871199962508399e-05,4.920800074614817e-05
4.897899998468347e-05,4.9354999646311626e-05
4.9108999519376084e-05,5.285499992169207e-05
4.90039992655511e-05,4.9387999752070755e-05
